,NU_ANO_CENSO,CO_UF,CO_MUNICIPIO,NO_ENTIDADE,CO_ENTIDADE,DS_ENDERECO,NU_ENDERECO,DS_COMPLEMENTO,NO_BAIRRO,CO_CEP,NU_DDD,NU_TELEFONE,NU_TELEFONE_PUBLICO,NU_FAX,new_latitude,new_longitude,latitude,longitude,email,url_website,abr_nome,Lat,Long,Detalhamento,,,,,,,,,,,,
167353,2018,43,4314902,ESC ENS MEDIO CESI ZONA SUL,43000452,RUA JOSE BRAULIO DA FONSECA,44,ESCOLA,ABERTA DOS MORROS,91787895,51,33461880,-,-,Não encontrado,Não encontrado,,,,,,Não encontrado,Não encontrado,,,,,,,,,,,,,
167354,2018,43,4314902,E E IND ENS FUN TUPE PAN,43000479,R PADRE WERNER S/INF COMUNIDADE,S/INF,COMUNIDADE,TRISTEZA,91920770,-,-,-,-,Não encontrado,Não encontrado,,,,,,Não encontrado,Não encontrado,,,,,,,,,,,,,
167355,2018,43,4314902,ESC EDUC PROFISSIONAL CECILIA MEIRELES,43000487,RUA DOS ANDRADAS,1001,CONJUNTO 301,CENTRO HISTORICO,90020015,51,30842420,-,30842420,-30.0307904,-51.2314822,,,,,,-30.0307904,-51.2314822,Escola de Educação Profissional Cecilia Meireles,1001, Rua dos Andradas, Centro Histórico, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 90020-007, Brasil,
167356,2018,43,4314902,ESCOLAS E FACULDADES QI - ALBERTO BINS,43000495,AVENIDA ALBERTO BINS,320,-,CENTRO HISTORICO,90030142,51,30735800,-,-,-30.0279788,-51.2235240804591,,,,,,-30.0279788,-51.2235240804591,Escolas e Faculdades QI,320, Avenida Alberto Bins, Centro Histórico, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 90030-140, Brasil,
167357,2018,43,4314902,ESCOLA DE EDUCACAO PROFISSIONAL PROFESSOR ALBERT EINSTEIN,43000517,RUA DOS ANDRADAS,1270,7ï¿½ ANDAR,CENTRO HISTORICO,90020009,51,32256917,32256917,-,-30.0298272,-51.2293942,,,,,,-30.0298272,-51.2293942,1270, Rua dos Andradas, Centro Histórico, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 90020-008, Brasil,,
167358,2018,43,4314902,ESCOLAS E FACULDADES QI - JULIO DE CASTILHOS,43000533,AVENIDA JULIO DE CASTILHOS,435,-,CENTRO HISTORICO,90030131,51,32140000,-,32140001,-30.02521835,-51.2226942480814,,,,,,-30.02521835,-51.2226942480814,Faculdades QI,435, Avenida Júlio de Castilhos, Centro Histórico, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 91010-003, Brasil,
167359,2018,43,4314902,IFRS - CAMPUS PORTO ALEGRE RESTINGA,43001190,RUA ALBERTO HOFFMANN,285,DISTRITO INDUSTRIAL,RESTINGA,91791508,51,32478400,-,-,-30.14128055,-51.13049327831,,,,,,-30.14128055,-51.13049327831,IFRS Campus Restinga,285, Rua Alberto Hoffmann, Distrito Industrial da Restinga, Restinga, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 91791-508, Brasil
167360,2018,43,4314902,E E IND ENS FUN PINDO POTY,43001254,ETR VAREJAO 217,217,-,LAMI,91787170,-,-,-,-,Não encontrado,Não encontrado,,,,,,Não encontrado,Não encontrado,,,,,,,,,,,,,
167361,2018,43,4314902,EEI PEIXINHOS DO MAR,43001831,RUA FRANCISCO PINTO DA FONTOURA,585,-,SARANDI,91110310,51,-,-,-,-29.9949573,-51.1343508,,,,,,-29.9949573,-51.1343508,Rua Francisco Pinto da Fontoura, Sarandi, Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 91110-440, Brasil,,,
167362,2018,43,4314902,ESCOLA INFANTIL ARCO IRIS,43001840,AVENIDA ARLINDO PASQUALINI,232,-,IPANEMA,91760140,51,32461555,-,-,Não encontrado,Não encontrado,,,,,,Não encontrado,Não encontrado,,,,,,,,,,,,,
